comment,date,source,category,score
very good staff and ranjeet ji is so good behavior,27-06-2019,google,Positive,4.56
great service would like to visit again.,27-06-2019,google,Positive,4.56
beautiful store. good customer service.,27-06-2019,google,Positive,4.56
this is just awesome the shop is so adorable & the location is also fantastic,27-06-2019,google,Positive,4.54
i have been using the s24 ultra and a canon dslr side by side . i am very impressed with the s24 ultra optimization..now how you take the photos matter,23-06-2024,youtube,Positive,4.54
i have been using the s24 ultra and a canon dslr side by side . i am very impressed with the s24 ultra optimization..now how you take the photos matter,23-06-2024,youtube,Positive,4.54
great vid as usualnow pls make a review to the oppo find x7 pro. i'm planning to make a phone switch from my s20 ultra so i want to weigh my options.,23-06-2024,youtube,Positive,4.54
great vid as usualnow pls make a review to the oppo find x7 pro. i'm planning to make a phone switch from my s20 ultra so i want to weigh my options.,23-06-2024,youtube,Positive,4.54
staff is so good and special thanx to mr. ranjeet ji he feel so comfortable with him and he attend us so beautifully.,27-06-2019,google,Positive,4.52
good service enough stock. ranjeet good person wish you all the best.,27-06-2019,google,Positive,4.52
store nd anvironment and staff very cool nd nice mr.rishpal singh is nature very attractive,27-06-2019,google,Positive,4.52
good showroom with good staff and have good communication skills with customer...,27-06-2019,google,Positive,4.52
coordinated video beautiful editing i love it,21-06-2024,youtube,Positive,4.52
redmi home in rdc ghaziabad stands out as a reliable and customercentric destination for all things xiaomi. the store's inviting ambiance coupled with a wellorganized layout creates a pleasant shopping experience for customers. …,26-02-2024,google,Positive,4.5
i am very happy with mi commerce facility.excellent facility delivery your favourite mobile at your home thanks vipul . good job,26-06-2020,google,Positive,4.5
good staf very good behavior specly kirshan staf person....good services,26-06-2022,google,Positive,4.5
it's kaam store then environment very good staff so nice spacial mr rishpal,27-06-2019,google,Positive,4.5
who saw the hand and the legendary catch in the background,23-06-2024,youtube,Positive,4.5
who saw the hand and the legendary catch in the background,23-06-2024,youtube,Positive,4.5
the new note 7 pro is amazing. it has a beautiful eye catching appearance. it's picture quality is heataking. i loved it,27-06-2019,google,Positive,4.48
wonderfull store n delightful staff with customer friendly behaviour ..thanks preet,27-06-2019,google,Positive,4.48
it's a great place to get all mi products. very supportive staff.,26-06-2022,google,Positive,4.48
nice store environment are very good then staff owsm,27-06-2019,google,Positive,4.48
very good place having all mi gadgets ....very helpful crew members ..mr.ranjit gives full efforts for customer satisfaction.,27-06-2019,google,Positive,4.46
it's a good place to visit for mi products. staff well educated and responsive.,26-06-2021,google,Positive,4.46
it's a owsm store mi home location is very nice then staff is good,27-06-2019,google,Positive,4.46
good experience and nice staff support,27-06-2019,google,Positive,4.46
very nice store then location is good,27-06-2019,google,Positive,4.46
excellènt  &  beautiful    ,24-06-2024,facebook,Positive,4.44
the 'trio' behind me is one of the best 'team' i have ever come across honest and selfless. thank u team for the great experience at your store,#VALUE!,google,Positive,4.44
"i really feel so much happy meet with everyone they give us solutions for finance. even i came to buy for 32"" and they told me about bajaj finance. and i convein 43"" led tv.  and one more thing they treat us so good.",27-06-2019,google,Positive,4.44
met ranjeet when buy   fit bithrx  service is good n best of luck for future,27-06-2019,google,Positive,4.44
this made me feel real good about getting the s24 ultra,23-06-2024,youtube,Positive,4.44
awesome comparison and analysis video how come no outro,23-06-2024,youtube,Positive,4.44
awesome comparison and analysis video how come no outro,23-06-2024,youtube,Positive,4.44
great news,25-06-2024,facebook,Positive,4.42
great,24-06-2024,facebook,Positive,4.42
xiaomi is great,25-06-2024,facebook,Positive,4.42
great palace,26-02-2024,google,Positive,4.42
i had a great experience with mi home rdc ghaziabad in purchasing products.,27-06-2019,google,Positive,4.42
awsome shop and great employee of rdc mi store,27-06-2019,google,Positive,4.42
great shirt d,22-06-2024,youtube,Positive,4.42
great shirt d,22-06-2024,youtube,Positive,4.42
great video,23-06-2024,youtube,Positive,4.42
great review,23-06-2024,youtube,Positive,4.42
best phone redmi note 13 pro+🥳🥳staff very helpful …,27-01-2024,google,Positive,4.4
staff is very good behavior,26-02-2024,google,Positive,4.4
very nice place  nice place to purchase  try to meet rahul pandey sir for full specification and clarification . gentle man .   i m in love with mi,26-06-2021,google,Positive,4.4
had an amazing experience buying at the store. i loved the mobile phone. thanks ranjit singh,27-06-2019,google,Positive,4.4
very good service ...helpful staff member nitin singh,27-06-2019,google,Positive,4.4
friendly staff. good product range. nice experience.,27-06-2019,google,Positive,4.4
good staff and good dealingbest store in location,27-06-2019,google,Positive,4.4
awesome experience in store mr. gaurav is very helpful and understanding...,27-06-2019,google,Positive,4.4
the atmosphere of the area is naturally good & all employees are good coperate behavior.,26-06-2020,google,Positive,4.4
very good service from mr. gaurav sharon ji.,27-06-2019,google,Positive,4.4
good staff behaviour good service,27-06-2019,google,Positive,4.4
a one store our staff is very good,27-06-2019,google,Positive,4.4
good staff behavior good product knowledge,27-06-2019,google,Positive,4.4
i love your videos keep up the good work,23-06-2024,youtube,Positive,4.4
i love your videos keep up the good work,23-06-2024,youtube,Positive,4.4
bro...take my love and....god bless you...for your honest review and.... a true decision  i am egargly waiting for you video,23-06-2024,youtube,Positive,4.4
bro...take my love and....god bless you...for your honest review and.... a true decision  i am egargly waiting for you video,23-06-2024,youtube,Positive,4.4
hi arun next time you make a video of flagship phone can u also include the comparison of customer care. alsl this video was awesome enjoyed it.,23-06-2024,youtube,Positive,4.4
wow  that's awesome,25-06-2024,facebook,Positive,4.38
near our house perfect mi home loving it,27-06-2019,google,Positive,4.38
staff is very cooperative and great experience visiting mi home. keep us the good work,27-06-2019,google,Positive,4.38
such great experience in this store very supportive staff and good demo product. thanks buddy,26-06-2020,google,Positive,4.38
very nice store and location r very owsm then very good staff,27-06-2019,google,Positive,4.38
amazing ambience good experience with skilled staff namely mr.gourav sharma,27-06-2019,google,Positive,4.38
you should review the ulefone armor 24 (i love your content its easily understandable and its nice to see all the new tech innovations or just some stuff i didnt know about yet keep up the good work),23-06-2024,youtube,Positive,4.38
nicely explained all the details of the product we needed. keep up the good work gaurav and nitin.,27-06-2019,google,Positive,4.36
great products at very reasonable prices. staff is really helpful enthusiastic.,27-06-2019,google,Positive,4.36
most amazing jobs by mi home guy's.micommerc throgh delivered products nice vipul.,26-06-2020,google,Positive,4.36
i had a great experience and i am loving my new mi band3,27-06-2019,google,Positive,4.36
the store is pretty good. and the service was really nice.,27-06-2019,google,Positive,4.36
just here to appreciate the the thumbnail literally a very creative thumbnail,23-06-2024,youtube,Positive,4.36
just here to appreciate the the thumbnail literally a very creative thumbnail,23-06-2024,youtube,Positive,4.36
wow your video edits is perfect at every moment,23-06-2024,youtube,Positive,4.36
thank you aaron. now i can feel peace to see you back into your delicious review.,23-06-2024,youtube,Positive,4.36
wow your video edits is perfect at every moment,23-06-2024,youtube,Positive,4.36
thank you aaron. now i can feel peace to see you back into your delicious review.,23-06-2024,youtube,Positive,4.36
congratulations xiaomi love you xiaomi,21-06-2024,facebook,Positive,4.34
nice experience to visit here... official person are also good in behaviour,27-06-2019,google,Positive,4.34
good service and nice behavior of staff.,27-06-2019,google,Positive,4.34
nice  store for product  reason  wise they  very  helpful 😊 …,26-06-2021,google,Positive,4.34
nice discount on mobile and good serviceby ranjeet singh,27-06-2019,google,Positive,4.34
amazing service and product too thank you mi for this,27-06-2019,google,Positive,4.34
it's nice store then environment are good,27-06-2019,google,Positive,4.34
good staff behaviour nice store,27-06-2019,google,Positive,4.34
ok bro...that throw and phone catch was smooth...just wondering how many takes it took ....thanks for a great review,23-06-2024,youtube,Positive,4.34
ok bro...that throw and phone catch was smooth...just wondering how many takes it took ....thanks for a great review,23-06-2024,youtube,Positive,4.34
nice lovely,21-06-2024,facebook,Positive,4.32
good service and great price offers,27-06-2019,google,Positive,4.32
hey next can you do a best budget phones of 2024 which includes poco x6 pro and how other budget phones in that price range compare against it and which is the best budget phone which ticks all of the boxes.,23-06-2024,youtube,Positive,4.32
hey next can you do a best budget phones of 2024 which includes poco x6 pro and how other budget phones in that price range compare against it and which is the best budget phone which ticks all of the boxes.,23-06-2024,youtube,Positive,4.32
arun as always thanks for your time & great infotainment & if you think the unboxing you had was great imagine my surprise when i went to the store to pick it up & the box was brought in by a forklift ok it was not a forklift but my goodness the box was huge at just under us$1200 it came withthe 90w brick the 80w wireless charger (so we can charge wirelessly faster than apple & the s24 charges wired ) a beautiful textured black everydaycase & the camera kit.the unboxing experience was next level & as it was the first 14u the store sold all eyes were on it. so on top of all that the store gave out a fab backpack & a pair of earpads too   i have a 5mnt vid on it if y'all wanna see what that box was like  mad almost two months since the purchase & i am absolutely loving this phone & everything it came with,22-06-2024,youtube,Positive,4.32
arun as always thanks for your time & great infotainment & if you think the unboxing you had was great imagine my surprise when i went to the store to pick it up & the box was brought in by a forklift ok it was not a forklift but my goodness the box was huge at just under us$1200 it came withthe 90w brick the 80w wireless charger (so we can charge wirelessly faster than apple & the s24 charges wired ) a beautiful textured black everydaycase & the camera kit.the unboxing experience was next level & as it was the first 14u the store sold all eyes were on it. so on top of all that the store gave out a fab backpack & a pair of earpads too   i have a 5mnt vid on it if y'all wanna see what that box was like  mad almost two months since the purchase & i am absolutely loving this phone & everything it came with,22-06-2024,youtube,Positive,4.32
you should do s24 ultra vs honor magic 6 pro and reviews the honor phone too please,23-06-2024,youtube,Positive,4.32
you should do s24 ultra vs honor magic 6 pro and reviews the honor phone too please,23-06-2024,youtube,Positive,4.32
best place to buy mi phones and other products. the store recently opened in rajnagar.staff is very helpful and friendly and offers best price. …,27-06-2019,google,Positive,4.3
 mi commerce its a very nice service...i was recently served by mr. rishpal singh.he is really nice and friendly person.,26-06-2020,google,Positive,4.3
good store worth visiting goid range and nice staff.,26-06-2021,google,Positive,4.3
i loved the background music.,24-06-2024,youtube,Positive,4.3
i loved the background music.,24-06-2024,youtube,Positive,4.3
nice store... nice experience.,27-01-2024,google,Positive,4.28
good service and amazing  storei am also visit  rdc gzb mi storesir please  inform kro 10 may ko store open hoga,26-06-2021,google,Positive,4.28
it's amazing store then environment are owsm staff member mr rishpal very sporting then good knowledge thanku mi,27-06-2019,google,Positive,4.28
good staff behavior.... really appreciate the help got from them....,27-06-2019,google,Positive,4.28
mi commerce services are the very good thanku mi home rdc and thanks for the mi home all team,26-06-2020,google,Positive,4.28
nice store and nice staff gud work,27-06-2019,google,Positive,4.28
while the s24 ultra is a better phone overall i gotta hand it to the xiaomi 14 ultra for its camera innovations and daring to do something different. having a charger in box is a great bonus,23-06-2024,youtube,Positive,4.28
i recommend doing every sega console ever. love your videos btw.,23-06-2024,youtube,Positive,4.28
the comparison graphics were so good this time,23-06-2024,youtube,Positive,4.28
i love how arun always says us and not you or i realyl makes you feel like you are just as normal as he is also love the shirt,23-06-2024,youtube,Positive,4.28
xiaomi is great thank you so much,21-06-2024,facebook,Positive,4.26
how nice this place..the staff is so friendly and helpful. they are really hardworking people.,27-06-2019,google,Positive,4.26
nice store thent location to very near about and staff is very good,27-06-2019,google,Positive,4.26
good and friendly environment .must provide discounts if visiting stores,26-06-2020,google,Positive,4.26
nice service by vipul micommerce delivery the commitment.,26-06-2021,google,Positive,4.26
now that's a true flagship unboxing experience. they didn't even have to include a case but they still did. good old xiaomi i hope they never change,23-06-2024,youtube,Positive,4.26
wow good model mobile   xiaomi 14 ultra i like this mobile,21-06-2024,facebook,Positive,4.24
staff is gud... and i like the way they explained me about the phone with honesty.lots of mi option on one place. nice showroom of mi to visit all items at one place.,27-06-2019,google,Positive,4.24
it's a very nice store then location r near about staff kwladge  good,27-06-2019,google,Positive,4.24
awesome people around here. quality served was very high. would highly recommend this place,27-06-2019,google,Positive,4.24
its amazing store like all product are available thanxx mi,27-06-2019,google,Positive,4.24
very nice store irs amzing location for near about then good staaf,27-06-2019,google,Positive,4.24
my experience in mi home is so good and thanks thanks for ranjeet singh 👍👍 …,27-06-2019,google,Positive,4.24
almost all products are available all timestaff is good and helpful,27-06-2019,google,Positive,4.24
really nice store very environment then good staff,27-06-2019,google,Positive,4.24
nice review would like to know if the 14 ultra photography kit fits and works on the 13 ultra,23-06-2024,youtube,Positive,4.24
nice review would like to know if the 14 ultra photography kit fits and works on the 13 ultra,23-06-2024,youtube,Positive,4.24
i really love the grip thing for the camera with the shutter button and zoom clipits pretty useful,23-06-2024,youtube,Positive,4.24
i really love the grip thing for the camera with the shutter button and zoom clipits pretty useful,23-06-2024,youtube,Positive,4.24
very sportable staff special krishan kumar very good behavior,26-02-2024,google,Positive,4.22
a very good showroom of mi electronics.all mi products are available in one hood with same prices of mi online stores.staff behaviour is good and they can give u full detials of product and can …,27-06-2019,google,Positive,4.22
mi experience center at rdc rajnagar is extremely well placed full of life changing products available on display for real life experience. im glad to own some if them & looking forward to own many more such great products.,27-06-2019,google,Positive,4.22
nice experience especially thanks to mr ranjeet for his cooperation..,27-06-2019,google,Positive,4.22
thanks team good supporting and provided the mobile on micommerce.,26-06-2020,google,Positive,4.22
new opening... good products... good service and availability,27-06-2019,google,Positive,4.22
nice and friendly service specifically mr. ranjeet,26-06-2020,google,Positive,4.2
very nice service mi home rdc thanks rdc team,26-06-2021,google,Positive,4.2
glad you uploaded a video hope your back more often. i enjoy your videos.,23-06-2024,youtube,Positive,4.2
did i get used to the newer style of videos or is this video a bit more like your older videos a lot less fast paced over the top and calmer. i enjoy calmer videos much more,23-06-2024,youtube,Positive,4.2
did i get used to the newer style of videos or is this video a bit more like your older videos a lot less fast paced over the top and calmer. i enjoy calmer videos much more,23-06-2024,youtube,Positive,4.2
bruh i wish to see you do honor magic 6 pro too. d,24-06-2024,youtube,Positive,4.2
bruh i wish to see you do honor magic 6 pro too. d,24-06-2024,youtube,Positive,4.2
awesome+ unique+ upto the mark... multitalent experienced and so gently dealing with customers,27-06-2019,google,Positive,4.18
amazing store then r gud staff,27-06-2019,google,Positive,4.18
the huge camera bump the camera grip case/power bank the lanyard... nokia did all of these 11 years ago with their legendary lumia 1020.the good old lumia days...,23-06-2024,youtube,Positive,4.18
i know this has nothing to do with tech but u have such a great personality that i think you would be great in the game show the traitors. i think it would be epic,23-06-2024,youtube,Positive,4.18
thanks for this review. i really love photography and music. the cameras on the xiaomi 14 ultra looks better. am really battling which to get between the two.,23-06-2024,youtube,Positive,4.18
nice i really hope that honor magic pro 6 will be next on your channel i want to buy it and i told my self i will not do that unless i will see you testing it first,23-06-2024,youtube,Positive,4.18
nice i really hope that honor magic pro 6 will be next on your channel i want to buy it and i told my self i will not do that unless i will see you testing it first,23-06-2024,youtube,Positive,4.18
another amazing video,23-06-2024,youtube,Positive,4.18
another amazing video,23-06-2024,youtube,Positive,4.18
good place for xiaomi lovers. they have variety of phones and laptops. showpiece are also available to check on. but they have standard xiaomi discounts ie. lower than ecommerce sites and other brands like croma vijay sales etc. otherwise place is good to go.,26-06-2022,google,Positive,4.16
fast amd efficient staff. satisfied with their service and product looks alright. thanks.,27-06-2019,google,Positive,4.16
such great service like i think delivered in as comments in telephone.thansk team.,26-06-2020,google,Positive,4.16
good too see the helpful staff mr nitin helped me lot to find out my new mobile thanks.,27-06-2019,google,Positive,4.16
nice store and envirment are good then location is near about,27-06-2019,google,Positive,4.16
thanks micommerc for delivering my product . good service.,26-06-2020,google,Positive,4.16
a very helpful staff with good knowledge of product.,27-06-2019,google,Positive,4.16
hey i've always wondered if best buy's open box items are worth it or reliable. what are your thoughts on them,23-06-2024,youtube,Positive,4.16
i bought the galaxy 24 ultra on launch and omg you put into words why the typing feels so nice,23-06-2024,youtube,Positive,4.16
i bought the galaxy 24 ultra on launch and omg you put into words why the typing feels so nice,23-06-2024,youtube,Positive,4.16
kept the 14u and sold my s24u  both superb and could not deny the spen and flat screen real estate of the s24u but the square design made it less pocketable in daily use for me (even though the 14u has the massive camera bump its way easier to handle and pocket as a 'phone'). camera on the 14u clinched the win for me though  much preferred the output from the 14u on photos and in particular macros which i take a lot of.,23-06-2024,youtube,Positive,4.16
kept the 14u and sold my s24u  both superb and could not deny the spen and flat screen real estate of the s24u but the square design made it less pocketable in daily use for me (even though the 14u has the massive camera bump its way easier to handle and pocket as a 'phone'). camera on the 14u clinched the win for me though  much preferred the output from the 14u on photos and in particular macros which i take a lot of.,23-06-2024,youtube,Positive,4.16
both are good,25-06-2024,facebook,Positive,4.14
i love xiaomi,21-06-2024,facebook,Positive,4.14
good to see you,21-06-2024,facebook,Positive,4.14
brazilians love products from china,24-06-2024,facebook,Positive,4.14
good,24-06-2024,facebook,Positive,4.14
i love ur phone,18-06-2024,facebook,Positive,4.14
love,24-06-2024,facebook,Positive,4.14
xiaomi '' good,24-06-2024,facebook,Positive,4.14
this place is good to purchase or connect with mi..... 👍🏻 …,27-01-2024,google,Positive,4.14
good behavior spesly kirshan,26-02-2024,google,Positive,4.14
good customer service experience.....,27-06-2019,google,Positive,4.14
i found this store exceptionally good in terms of personalized attention towards customer neat and tidey store with wide range of products the team members are professional always smiling ready to serve attitude helping customer with …,26-06-2020,google,Positive,4.14
good behaviour,26-02-2024,google,Positive,4.14
perfectly fine 🙂good products and affordable prices 👌 …,26-06-2022,google,Positive,4.14
good service,26-02-2024,google,Positive,4.14
it's a good placeranjit sir attended usgood showroom,27-06-2019,google,Positive,4.14
good experience i had purchased mi tv 32 inches from there.,27-06-2019,google,Positive,4.14
good,26-02-2024,google,Positive,4.14
i'm buying mi phone at store and is experience is too good,27-06-2019,google,Positive,4.14
very satisying. ranjeet singh is very helpful considerate and sincere.,27-06-2019,google,Positive,4.14
verry good customer experience by ranjeet singh,27-06-2019,google,Positive,4.14
it is always a good experience to visit mi store in rdc ghaziabad,27-06-2019,google,Positive,4.14
icymi @ quite smartly done mrwhosetheboss by typing 'subscribe please'    genuinely like that haha,13-06-2024,youtube,Positive,4.14
i love the video editing 10/10,23-06-2024,youtube,Positive,4.14
i have waited for this for a year or so ( since the 13 ultra vs 14 pro max video ) good job as always,23-06-2024,youtube,Positive,4.14
i love the video editing 10/10,23-06-2024,youtube,Positive,4.14
i have waited for this for a year or so ( since the 13 ultra vs 14 pro max video ) good job as always,23-06-2024,youtube,Positive,4.14
next you should review the byd seal probably the best car for its price or even on the market of the electric catagory,23-06-2024,youtube,Positive,4.14
next you should review the byd seal probably the best car for its price or even on the market of the electric catagory,23-06-2024,youtube,Positive,4.14
when i saw that camera app lens transition i was like wow it transitions better than samsung camera app,23-06-2024,youtube,Positive,4.14
good catch,23-06-2024,youtube,Positive,4.14
good catch,23-06-2024,youtube,Positive,4.14
greetings from poland  i am your big fan  (redmi note 8t is the best),25-06-2024,facebook,Positive,4.12
woow this is so good that company opened his mi home.i experienced and i feel good they attend us very respectful.now we no need to buy another store in extra money.  the give us phone above …,27-06-2019,google,Positive,4.12
so much supported staff specially ranjeet ji. he helped me. and store is so nice.,27-06-2019,google,Positive,4.12
it's been great with dealing with executive (ranjeet) really helpfull,27-06-2019,google,Positive,4.12
i love the fact that you always do so much research and never fail to exceed my expectations,23-06-2024,youtube,Positive,4.12
i love the fact that you always do so much research and never fail to exceed my expectations,23-06-2024,youtube,Positive,4.12
this mi home company outlet please vist this store....staff very helpful & behaviour also good......,27-03-2024,google,Positive,4.1
wonderfull experience with mr ranjeet singh. nice shopping experiwnce.. thanks mi,27-06-2019,google,Positive,4.1
i got used to xiaomi os and yes its very smooth. very clever phone. still learnig it. hyper os,23-06-2024,youtube,Positive,4.1
thanks for the detailed review looking for your  review on honor magic 6 pro,23-06-2024,youtube,Positive,4.1
thanks for the detailed review looking for your  review on honor magic 6 pro,23-06-2024,youtube,Positive,4.1
super cool,25-06-2024,facebook,Positive,4.08
i have one of the xiaomi it's good but i'm in search of an advanced model in pakistan.,25-06-2024,facebook,Positive,4.08
that variable aperture is super cool,23-06-2024,youtube,Positive,4.08
the big chunky camera works great when holding the phone. the edge of the camera rests on your pointer finger.so even tho the camera adds weight it also adds an edge for better grip.like every new phone we get you just get used to it.i have the 11 ultra (also has a chunky camera)and will likely get the 14 ultra next.thanks for the review.,23-06-2024,youtube,Positive,4.08
the big chunky camera works great when holding the phone. the edge of the camera rests on your pointer finger.so even tho the camera adds weight it also adds an edge for better grip.like every new phone we get you just get used to it.i have the 11 ultra (also has a chunky camera)and will likely get the 14 ultra next.thanks for the review.,23-06-2024,youtube,Positive,4.08
micommerce rishpal singh nice guy managing all protocols which are required in this current situation. very much thankful to him,26-06-2020,google,Positive,4.06
amazing experience with quick service given by mr. ranjeet,27-06-2019,google,Positive,4.06
i love your videos but...this one is a little more on the side of samsung like its sponsored. you don't have to hold the phone close to the camera but you can also rest your fingers on the camera because you didn't mention that no prints remain on that surface and you don't have to clean the cameras at all they simply don't get dirty which is extra. charging batery from 0 to 100% for 15 minutes xou didnt mentioned all adds can be disabledall. and for the camera samsung is not close at all  i think you did a great job with this video but you weren't objective.,23-06-2024,youtube,Positive,4.06
